Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
Main Controller,ESP32-S3-WROOM-1-N16R8,ESP32-S3-WROOM-1-N16R8 module with 16MB Flash and 8MB PSRAM for display buffer and general processing.,electrical,mcu,1,7.5,7.5,
GSM/4G Module,SIM7600G-H,Global multi-mode 2G/3G/4G cellular module with integrated SIM card slot for independent network connectivity.,electrical,module,1,35,35,
LoRa Transceiver Module,"SX1262 LoRa Module (e.g., Ra-02S)",,electrical,module,1,5,5,
GPS Module,U-blox NEO-6M,GPS module for outdoor navigation and position sensing.,electrical,module,1,15,15,
MPPT Solar Charge Controller,CN3791 MPPT Solar Charger Module,"Manages power from the generator to efficiently charge the battery, optimized for maximum power point tracking.",electrical,power,1,10,10,
18650 BMS for 2S/3S,"2S/3S Li-ion BMS (e.g., HX-3S-FL25A)",,electrical,power,1,3,3,
18650 Li-ion Battery Cell,Samsung 18650 3.7V 3000mAh,Rechargeable Li-ion battery for portable power.,electrical,power,1,5,5,
18650 Li-ion Battery Cell,Samsung 18650 3.7V 3000mAh,Rechargeable Li-ion battery for portable power.,electrical,power,1,5,5,
Temperature & Humidity Sensor,SHT40,Integrated temperature and humidity sensor for monitoring micro-environment conditions.,electrical,sensor,1,6,6,
PM2.5 & CO2 Sensor,SCD40 (CO2) + PMS5003 (PM2.5),,electrical,sensor,1,65,65,
UV Index Sensor,VEML6075,Measures ambient light for automatic brightness adjustment.,electrical,sensor,1,4,4,
Rainfall Sensor,FC-37 Rain Sensor Module,Detects the presence of rain to activate the roof collection system and adjust irrigation.,electrical,sensor,1,3,3,
Ambient Light Sensor,BH1750FVI,监测环境光照强度。,electrical,sensor,1,2.5,2.5,
Occupancy (PIR) Sensor,HC-SR501 PIR Motion Sensor,Passive Infrared (PIR) sensor for detecting motion and occupancy.,electrical,sensor,1,2,2,
OLED Status Display,SSD1306 0.96 inch OLED,Small OLED display for system status and feedback. Located on the handheld head.,electrical,display,1,5,5,
Red Alert LED,5mm Red LED,Standard 5mm through-hole red LED for indicator purposes.,electrical,display,1,0.1,0.1,
Green Alert LED,5mm Green LED,Indicates system running status.,electrical,display,1,0.1,0.1,
Mini GSM/4G Antenna,GSM 4G LTE SMA Antenna,,electrical,module,1,5,5,
Mini LoRa Antenna,LoRa 868MHz/915MHz SMA Antenna,,electrical,module,1,4,4,
Mini GPS Antenna,Active GPS SMA Antenna,,electrical,module,1,7,7,
DC Input Jack,5.5x2.1mm DC Power Jack,"5.5x2.1mm DC power female jack with fixed mounting, anti-reverse polarity design.",electrical,power,1,0.5,0.5,
SCHEB Main Enclosure,IP65 ABS/Polycarbonate Project Box,"Durable, weather-resistant enclosure for SCHEB electronics, sized for 10x4x6 inches (254x101.6x152.4mm).",mechanical,enclosure,1,45,45,
Enclosure Front Panel,IP65 ABS/Polycarbonate Project Box Lid,"Front panel of the enclosure with cutouts for display, LEDs, and sensor openings.",mechanical,enclosure,1,15,15,
SCHEB Wall Mounting Plate,Heavy-Duty Sliding Wall Mount Plate,Heavy-duty sliding mounting plate for securely attaching the SCHEB unit to a wall.,mechanical,structural,1,12,12,
Security Screw for Wall Mount,M4x10mm Hex Socket Security Screw,"M4 security screw to lock the SCHEB unit onto the wall mounting plate, preventing theft.",mechanical,misc,1,0.5,0.5,
Top Ventilation Grille,IP65 Ventilation Grille with Filter,Weather-resistant louvered ventilation grille for the top section of the enclosure.,mechanical,enclosure,1,4,4,
Bottom Ventilation Grille,IP65 Ventilation Grille with Filter,"Weather-resistant louvered ventilation grille for the bottom section of the enclosure, above sensors.",mechanical,enclosure,1,4,4,
Dust Filter for Top Vent,Fine Mesh Dust Filter,Fine mesh filter to prevent dust and insects from entering the top ventilation port.,mechanical,misc,1,1,1,
Dust Filter for Bottom Vent,Fine Mesh Dust Filter,Fine mesh filter to prevent dust and insects from entering the bottom ventilation port.,mechanical,misc,1,1,1,
Carry Handle,Heavy Duty ABS Carry Handle,"Durable carry handle for portability, integrated into the top of the enclosure.",mechanical,enclosure,1,7,7,
DC Input Cable Gland,M16 IP68 Cable Gland,Waterproof M16 cable gland for securing the solar panel DC input cable.,mechanical,misc,1,3,3,
Internal Backplate/PCB Frame,,"3D-printed internal backplate providing structural support, PCB mounting, and integrated 18650 battery slots.",mechanical,3d_printed,1,8,8,
18650 Battery Slot 1,,Integrated slot in the internal backplate for holding the first 18650 Li-ion battery.,mechanical,3d_printed,1,1,1,
18650 Battery Slot 2,,Integrated slot in the internal backplate for holding the second 18650 Li-ion battery.,mechanical,3d_printed,1,1,1,
Vertical PCB Mount,,Set of standoffs and guides to securely mount the single main PCB vertically within the enclosure.,mechanical,3d_printed,1,3,3,
RF Module Standoffs,,"Small 3D-printed standoffs/brackets to position RF modules (GSM/4G, LoRa, Wi-Fi/BT) in the top section.",mechanical,3d_printed,1,0.5,0.5,
OLED Display Bezel,,3D-printed bezel and mount for the OLED status display on the front panel.,mechanical,3d_printed,1,1,1,
Red LED Mount,,Small 3D-printed mount for the red alert LED on the front panel.,mechanical,3d_printed,1,0.2,0.2,
Green LED Mount,,Small 3D-printed mount for the green alert LED on the front panel.,mechanical,3d_printed,1,0.2,0.2,
PM2.5/CO2 Sensor Mount,,3D-printed bracket for mounting the PM2.5 and CO2 sensor near the bottom ventilation port.,mechanical,3d_printed,1,1.5,1.5,
Temp/Humidity Sensor Mount,,Small 3D-printed bracket for mounting the temperature and humidity sensor.,mechanical,3d_printed,1,0.5,0.5,
UV Sensor Mount,,"Small 3D-printed holder for the UV radiation sensor, positioned to face outwards.",mechanical,3d_printed,1,0.4,0.4,
Ambient Light Sensor Mount,,"Small 3D-printed holder for the ambient light sensor, positioned to face outwards.",mechanical,3d_printed,1,0.4,0.4,
