Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","ESP32-S3-WROOM-1-N16R8","ESP32-S3-WROOM-1-N16R8 module with 16MB Flash and 8MB PSRAM for display buffer and general processing.","electrical","mcu",1,7.50,7.50,"https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S3-WROOM-1-N16R8/16474668"
"GSM/4G Module","SIM7600G-H","Global multi-mode 2G/3G/4G cellular module with integrated SIM card slot for independent network connectivity.","electrical","module",1,35.00,35.00,"https://www.digikey.com/en/products/detail/simcom-wireless-solutions/SIM7600G-H/10475149"
"LoRa Transceiver Module","SX1262 LoRa Module (e.g., Ra-02S)","","electrical","module",1,5.00,5.00,"https://www.digikey.com/en/products/result?keywords=SX1262+LoRa+module"
"GPS Module","U-blox NEO-6M","GPS module for outdoor navigation and position sensing.","electrical","module",1,15.00,15.00,"https://www.amazon.com/dp/B0F2DKWJ4J?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"MPPT Solar Charge Controller","CN3791 MPPT Solar Charger Module","Manages power from the generator to efficiently charge the battery, optimized for maximum power point tracking.","electrical","power",1,10.00,10.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxw5CCfNZHbkRViGUC8WQKKOiPpxfeq940MzXBuCwxTh0xllbyraAtKuRvp7T1QLqFaBXne5hQCUiqn0oM2JfUVvHN3n1FSi0K4lin2Pb11xoMfXNXcdF9T2pLeEYkKq93yMZIY3ENYnRC7mnTL6fOeAP7DUTHAQ7LgqCyI8YaHcE1b0sDNIamrasRc9JKycGSUQkQuCDCRdnhAQeRvHezasengfCko3mV9KOp1rMwf10Nn0EsWcvNEUI7QJnE0iYZgZo2OTbyBDDV6FrjdEDrAWLtYQaG4CIaPu8Z2hpqej3gqICJuiZoSgaQLDUN8Uo026RyUG6Askye5uwKKQYzouHylMWWP7ZMwmyMvpJvfrN9avd7311T7hRvfsM0nuK9YhFjYTCiSeWYyvnRscBODTFzgqnEyRKzvHjEpkdMdsiXfQ9Mb9R1wItpsrUqWUvfTCliFWgiwaoIpuqvQ7cJTyseO9j6NnDMPpbSViCWPyPvx3Hc1R39ncVMDtEMmlnA29hgZppaVH2vooIdysi03pHgnATf9G71k7wRBXXXPQqBABVtAkC0mPFpQl9nJLMe6UXaPZGS67Gj1LXTQ5i2Lel9BEgSF81GquWpf15j0CWOUJPt6088MHhTX2pLZFy3bzTQvPTA3R9Qr30hWxgItUB"
"18650 BMS for 2S/3S","2S/3S Li-ion BMS (e.g., HX-3S-FL25A)","","electrical","power",1,3.00,3.00,"https://www.amazon.com/dp/B0F9Y7BFCH?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"18650 Li-ion Battery Cell","Samsung 18650 3.7V 3000mAh","Rechargeable Li-ion battery for portable power.","electrical","power",1,5.00,5.00,"https://www.digikey.com/en/products/result?keywords=samsung+18650+3000mAh"
"18650 Li-ion Battery Cell","Samsung 18650 3.7V 3000mAh","Rechargeable Li-ion battery for portable power.","electrical","power",1,5.00,5.00,"https://www.digikey.com/en/products/result?keywords=samsung+18650+3000mAh"
"Temperature & Humidity Sensor","SHT40","Integrated temperature and humidity sensor for monitoring micro-environment conditions.","electrical","sensor",1,6.00,6.00,"https://www.digikey.com/en/products/detail/sensirion-ag/SHT40-AD1B-R2/14589255"
"PM2.5 & CO2 Sensor","SCD40 (CO2) + PMS5003 (PM2.5)","","electrical","sensor",1,65.00,65.00,"https://www.digikey.com/en/products/detail/sensirion-ag/SCD40/13926526 AND https://www.digikey.com/en/products/detail/plantower/PMS5003/11623869"
"UV Index Sensor","VEML6075","Measures ambient light for automatic brightness adjustment.","electrical","sensor",1,4.00,4.00,"https://www.digikey.com/en/products/detail/vishay-semi-opt-div/VEML6075/6215359"
